id,name,group,frequency,author,date,goodreads,wikipedia,images
,,,,,,,,
1,"Robots, Androids, or AI",2,11,,,,,
2,Battles,2,11,,,,,
3,Romance,2,11,,,,,
4,Magic,2,11,,,,,
5,Time Travel,2,11,,,,,
6,Interplanetary,2,11,,,,,
7,Multi-species,2,11,,,,,
8,Beasts,2,11,,,,,
9,Psychic Powers,2,11,,,,,
10,Novel Technology,2,11,,,,,
11,After Catastrophe,2,11,,,,,
12,Frankenstein,1,6,Mary Shelley,1818,https://www.goodreads.com/book/show/53972862-frankenstein,https://en.wikipedia.org/wiki/Frankenstein,book-covers-img\Frankenstein.jpg
13,Twenty Thousand Leagues Under the Sea,1,7,Jules Vernes,1870,https://www.goodreads.com/book/show/33507.Twenty_Thousand_Leagues_Under_the_Sea,https://en.wikipedia.org/wiki/Twenty_Thousand_Leagues_Under_the_Seas,book-covers-img\Twenty_Thousand_Leagues_Under_the_Sea.jpg
14,Journey to the Center of the Earth,1,2,Jules Verne,1874,https://www.goodreads.com/book/show/32829.Journey_to_the_Center_of_the_Earth,https://en.wikipedia.org/wiki/Journey_to_the_Center_of_the_Earth,book-covers-img\Journey_to_the_Center_of_the_Earth.jpg
15,The Time Machine,1,6,H. G. Wells,1895,https://www.goodreads.com/book/show/2493.The_Time_Machine,https://en.wikipedia.org/wiki/The_Time_Machine,book-covers-img\The_Time_Machine.jpg
16,The War of the Worlds,1,3,H. G. Wells,1898,https://www.goodreads.com/book/show/8909.The_War_of_the_Worlds,https://en.wikipedia.org/wiki/The_War_of_the_Worlds,book-covers-img\The_War_of_the_Worlds.jpg
17,A Princess of Mars,1,2,Edgar Rice Burroughs,1917,https://www.goodreads.com/book/show/40395.A_Princess_of_Mars,https://en.wikipedia.org/wiki/A_Princess_of_Mars,book-covers-img\A_Princess_of_Mars.jpg
18,The Skylark of Space,1,2,E E Doc Smith,1919,https://www.goodreads.com/book/show/576879.The_Skylark_of_Space,https://en.wikipedia.org/wiki/The_Skylark_of_Space,book-covers-img\The_Skylark_of_Space.jpg
19,Last and First Men,1,3,Olaf Stapledon,1930,https://www.goodreads.com/book/show/2749148-last-and-first-men,https://en.wikipedia.org/wiki/Last_and_First_Men,book-covers-img\Last_and_First_Men.jpg
20,Brave New World,1,6,Aldous Huxley,1932,https://www.goodreads.com/book/show/5129.Brave_New_World,https://en.wikipedia.org/wiki/Brave_New_World,book-covers-img\Brave-New-World.jpg
21,Swastika Night,1,2,Katharine Burdekin aka Murray Constantine,1937,https://www.goodreads.com/book/show/387373.Swastika_Night,https://en.wikipedia.org/wiki/Swastika_Night,book-covers-img\swastika_night.jpg
22,The Space Trilogy,1,2,C. S. Lewis,1938,https://www.goodreads.com/book/show/30628.Space_Trilogy,https://en.wikipedia.org/wiki/The_Space_Trilogy,book-covers-img\the_space_trilogy.jpg
23,The Foundation Trilogy,1,8,Isaac Asimov,1942,https://www.goodreads.com/book/show/46654.The_Foundation_Trilogy,https://en.wikipedia.org/wiki/Foundation_series,book-covers-img\The_Foundation_Trilogy.jpg
24,Chronicles of the Lensmen,1,2,E E Doc Smith,1948,https://www.goodreads.com/book/show/1992216.Chronicles_of_the_Lensmen_Volume_1,https://en.wikipedia.org/wiki/Lensman_series,book-covers-img\Chronicles_of_the_Lensmen_Volume_1.jpg
25,1984,1,6,George Orwell,1949,https://www.goodreads.com/book/show/40961427-1984,https://en.wikipedia.org/wiki/Nineteen_Eighty-Four,book-covers-img\1984.jpg
26,Earth Abides,1,3,George R. Stewart,1949,https://www.goodreads.com/book/show/93269.Earth_Abides,https://en.wikipedia.org/wiki/Earth_Abides,book-covers-img\earth_abides.jpg
27,"The Lion, the Witch and the Wardrobe",1,2,C. S. Lewis,1950,https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe,"https://en.wikipedia.org/wiki/The_Lion,_the_Witch_and_the_Wardrobe",book-covers-img\the_lion_witch_wardrobe.jpg
28,"I, Robot",1,4,Isaac Asimov,1950,https://www.goodreads.com/book/show/41804.I_Robot,"https://en.wikipedia.org/wiki/I,_Robot",book-covers-img\I_Robot.jpg
29,Tales of the Dying Earth,1,2,Jack Vance,1950,https://www.goodreads.com/book/show/40866.Tales_of_the_Dying_Earth,https://en.wikipedia.org/wiki/Dying_Earth,book-covers-img\Tales_of_the_Dying_Earth.jpg
30,The Martian Chronicles,1,6,Ray Bradbury,1950,https://www.goodreads.com/book/show/76778.The_Martian_Chronicles,https://en.wikipedia.org/wiki/The_Martian_Chronicles,book-covers-img\The_Martian_Chronicles.jpg
31,Day of the Triffids,1,3,John Wyndham,1951,https://www.goodreads.com/book/show/530965.The_Day_of_the_Triffids,https://en.wikipedia.org/wiki/The_Day_of_the_Triffids,book-covers-img\Day_of_the_Triffids.jpg
32,City,1,2,Clifford D. Simak,1952,https://www.goodreads.com/book/show/222093.City,https://en.wikipedia.org/wiki/City_(novel),book-covers-img\City.jpg
33,Childhood's End,1,4,Arthur C. Clarke,1953,https://www.goodreads.com/book/show/414999.Childhood_s_End,https://en.wikipedia.org/wiki/Childhood%27s_End,book-covers-img\Childhood's_End.jpg
34,The Space Merchants,1,3,Frederik Pohl,1953,https://www.goodreads.com/book/show/392566.The_Space_Merchants,https://en.wikipedia.org/wiki/The_Space_Merchants,book-covers-img\The_Space_Merchants.jpg
35,The Caves of Steel,1,2,Isaac Asimov,1953,https://www.goodreads.com/book/show/41811.The_Caves_of_Steel,https://en.wikipedia.org/wiki/The_Caves_of_Steel,book-covers-img\The_Caves_of_Steel.jpg
36,Fahrenheit 451,1,4,Ray Bradbury,1953,https://www.goodreads.com/book/show/13079982-fahrenheit-451,https://en.wikipedia.org/wiki/Fahrenheit_451,book-covers-img\Fahrenheit_451.jpg
37,Bring the Jubilee,1,2,Ward Moore,1953,https://www.goodreads.com/book/show/91099.Bring_the_Jubilee,https://en.wikipedia.org/wiki/Bring_the_Jubilee,book-covers-img\Bring_the_Jubilee.jpg
38,Mission of Gravity,1,2,Hal Clement,1954,https://www.goodreads.com/book/show/525285.Mission_of_Gravity,https://en.wikipedia.org/wiki/Mission_of_Gravity,book-covers-img\Mission_of_Gravity.jpg
39,I am Legend,1,5,Richard Matheson,1954,https://www.goodreads.com/book/show/40940649-i-am-legend,https://en.wikipedia.org/wiki/I_Am_Legend_(novel),book-covers-img\i_am_legend.jpg
40,The Lord of the Rings,1,4,J. R. R. Tolkein,1955,https://www.goodreads.com/book/show/33.The_Lord_of_the_Rings,https://en.wikipedia.org/wiki/The_Lord_of_the_Rings,book-covers-img\The_Lord_of_the_Rings.jpg
41,The Death of Grass,1,2,John Christopher,1956,https://www.goodreads.com/book/show/941731.The_Death_of_Grass,https://en.wikipedia.org/wiki/The_Death_of_Grass,book-covers-img\The_Death_of_Grass.jpg
42,The Stars My Destination,1,6,Alfred Bester,1957,https://www.goodreads.com/book/show/333867.The_Stars_My_Destination,https://en.wikipedia.org/wiki/The_Stars_My_Destination,book-covers-img\The_Stars_My_Destination.jpg
43,The Once and Future King,1,2,T. H. White,1958,https://www.goodreads.com/book/show/43545.The_Once_and_Future_King,https://en.wikipedia.org/wiki/The_Once_and_Future_King,book-covers-img\The_Once_and_Future_King.jpg
44,The Rediscovery of Man,1,2,Cordwainer Smith,1959,https://www.goodreads.com/book/show/18952.The_Rediscovery_of_Man,https://en.wikipedia.org/wiki/The_Rediscovery_of_Man,book-covers-img\The_Rediscovery_of_Man.jpg
45,Flowers for Algernon,1,4,Daniel Keyes,1959,https://www.goodreads.com/book/show/36576608-flowers-for-algernon,https://en.wikipedia.org/wiki/Flowers_for_Algernon,book-covers-img\FlowersForAlgernon.jpg
46,A Canticle for Leibowitz,1,7,Walter M. Miller Jr,1959,https://www.goodreads.com/book/show/164154.A_Canticle_for_Leibowitz,https://en.wikipedia.org/wiki/A_Canticle_for_Leibowitz,book-covers-img\A_Canticle_for_Leibowitz.jpg
47,Rogue Moon,1,2,Algis Budrys,1960,https://www.goodreads.com/book/show/939709.Rogue_Moon,https://en.wikipedia.org/wiki/Rogue_Moon,book-covers-img\Rogue_Moon.jpg
48,Stranger in a Stange Land,1,4,Robert A. Heinlein,1961,https://www.goodreads.com/book/show/350.Stranger_in_a_Strange_Land,https://en.wikipedia.org/wiki/Stranger_in_a_Strange_Land,book-covers-img\Stranger_in_a_Stange_Land.jpg
49,Solaris,1,5,Stanislaw Lem,1961,https://www.goodreads.com/book/show/95558.Solaris,https://en.wikipedia.org/wiki/Solaris_(novel),book-covers-img\Solaris.jpg
50,A Clockwork Orange,1,5,Anthony Burgess,1962,https://www.goodreads.com/book/show/41817486-a-clockwork-orange,https://en.wikipedia.org/wiki/A_Clockwork_Orange_(novel),book-covers-img\A_Clockwork_Orange.jpg
51,The Drowned World,1,2,J. G. Ballard,1962,https://www.goodreads.com/book/show/16234584-the-drowned-world,https://en.wikipedia.org/wiki/The_Drowned_World,book-covers-img\The_Drowned_World.jpg
52,The Man in the High Castle,1,3,Philip K. Dick,1962,https://www.goodreads.com/book/show/216363.The_Man_in_the_High_Castle,https://en.wikipedia.org/wiki/The_Man_in_the_High_Castle,book-covers-img\The_Man_in_the_High_Castle.jpg
53,Something Wicked This Way Comes,1,2,Ray Bradbury,1962,https://www.goodreads.com/book/show/248596.Something_Wicked_This_Way_Comes,https://en.wikipedia.org/wiki/Something_Wicked_This_Way_Comes_(novel),book-covers-img\Something_Wicked_This_Way_Comes.jpg
54,Witch World,1,2,Andre Norton,1963,https://www.goodreads.com/book/show/462448.Witch_World,https://en.wikipedia.org/wiki/Witch_World_(novel),book-covers-img\Witch_World.jpg
55,Cat's Cradle,1,2,Kurt Vonnegut,1963,https://www.goodreads.com/book/show/135479.Cat_s_Cradle,https://en.wikipedia.org/wiki/Cat%27s_Cradle,book-covers-img\Cat's_Cradle.jpg
56,A Wrinkle in Time,1,3,Madeleine L'Engle,1963,https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time,https://en.wikipedia.org/wiki/A_Wrinkle_in_Time,book-covers-img\WrinkleInTime.jpg
57,The Wanderer,1,2,Fritz Leiber,1964,https://www.goodreads.com/book/show/218709.The_Wanderer,https://en.wikipedia.org/wiki/The_Wanderer_(Leiber_novel),book-covers-img\The_Wanderer.jpg
58,The Dune Chronicles,1,9,Frank Herbert,1965,https://www.goodreads.com/book/show/44767458-dune,https://en.wikipedia.org/wiki/Dune_(franchise),book-covers-img\dune.jpg
59,The Moon is a Harsh Mistress,1,6,Robert A. Heinlein,1966,https://www.goodreads.com/book/show/16690.The_Moon_Is_a_Harsh_Mistress,https://en.wikipedia.org/wiki/The_Moon_Is_a_Harsh_Mistress,book-covers-img\The_Moon_Is_A_Harsh_Mistress_(book).jpg
60,Babel 17,1,2,Samuel R. Delany,1966,https://www.goodreads.com/book/show/1199688.Babel_17,https://en.wikipedia.org/wiki/Babel-17,book-covers-img\Babel_17.jpg
61,Dragon Riders of Pern Series,1,3,Anne McCaffrey,1967,https://www.goodreads.com/book/show/177001.Dragonflight_Dragonquest,https://en.wikipedia.org/wiki/Dragonriders_of_Pern,book-covers-img\Dragonflight.jpg
62,Dangerous Visions,1,3,Harlan E. Ellison,1967,https://www.goodreads.com/book/show/600349.Dangerous_Visions,https://en.wikipedia.org/wiki/Dangerous_Visions,book-covers-img\DangerousVisions(1stEd).jpg
63,Lord of Light,1,3,Roger Zelazny,1967,https://www.goodreads.com/book/show/13821.Lord_of_Light,https://en.wikipedia.org/wiki/Lord_of_Light,book-covers-img\LordofLight(Zelazny).jpg
64,2001: A Space Odyssey,1,7,Arthur C. Clarke,1968,https://www.goodreads.com/book/show/70535.2001,https://en.wikipedia.org/wiki/2001:_A_Space_Odyssey_(novel),book-covers-img\2001_A_Space_Odyssey-Arthur_C_Clarke.jpg
65,Stand on Zanzibar,1,4,John Brunner,1968,https://www.goodreads.com/book/show/41069.Stand_on_Zanzibar,https://en.wikipedia.org/wiki/Stand_on_Zanzibar,book-covers-img\Stand_on_Zanzibar.jpg
66,Pavane,1,2,Keith Roberts,1968,https://www.goodreads.com/book/show/599588.Pavane,https://en.wikipedia.org/wiki/Pavane_(novel),book-covers-img\Pavane.jpg
67,The Last Unicorn,1,3,Peter S. Beagle,1968,https://www.goodreads.com/book/show/29127.The_Last_Unicorn,https://en.wikipedia.org/wiki/The_Last_Unicorn,book-covers-img\Last_unicorn_hb.jpg
68,Do Androids Dream of Electric Sheep,1,4,Philip K. Dick,1968,https://www.goodreads.com/book/show/36402034-do-androids-dream-of-electric-sheep,https://en.wikipedia.org/wiki/Do_Androids_Dream_of_Electric_Sheep%3F,book-covers-img\DoAndroidsDream.png
69,Slaughterhouse Five,1,7,Kurt Vonnegut,1969,https://www.goodreads.com/book/show/4981.Slaughterhouse_Five,https://en.wikipedia.org/wiki/Slaughterhouse-Five,book-covers-img\slaughterhouse_5.jpg
70,Behold the Man,1,2,Michael Moorcock,1969,https://www.goodreads.com/book/show/60146.Behold_the_Man,https://en.wikipedia.org/wiki/Behold_the_Man_(novel),book-covers-img\Behold_the_Man.jpg
71,Ubik,1,3,Philip K. Dick,1969,https://www.goodreads.com/book/show/22590.Ubik,https://en.wikipedia.org/wiki/Ubik,book-covers-img\Ubik(1stEd).jpg
72,The Left Hand of Darkness,1,7,Ursula K. Le Guin,1969,https://www.goodreads.com/book/show/18423.The_Left_Hand_of_Darkness,https://en.wikipedia.org/wiki/The_Left_Hand_of_Darkness,book-covers-img\TheLeftHandOfDarkness1stEd.jpg
73,The Atrocity Exhibition,1,2,J G Ballard,1970,https://www.goodreads.com/book/show/70240.The_Atrocity_Exhibition,https://en.wikipedia.org/wiki/The_Atrocity_Exhibition,book-covers-img\The_Atrocity_Exhibition.jpg
74,Ringworld,1,8,Larry Nivan,1970,https://www.goodreads.com/book/show/61179.Ringworld,https://en.wikipedia.org/wiki/Ringworld,book-covers-img\Ringworld(1stEd).jpg
75,The Chronicles of Amber,1,2,Roger Zelazny,1970,https://www.goodreads.com/book/show/92121.Nine_Princes_in_Amber,https://en.wikipedia.org/wiki/The_Chronicles_of_Amber,book-covers-img\Nine_princes_in_amber.jpg
76,The Fabulous Riverboat,1,2,Philip Jose Farmer,1971,https://www.goodreads.com/book/show/16536.The_Fabulous_Riverboat,https://en.wikipedia.org/wiki/The_Fabulous_Riverboat,book-covers-img\the_fabulous_river_boat.jpg
77,Roadside Picnic,1,4,Arkady and Boris Strugatsky,1972,https://www.goodreads.com/book/show/331256.Roadside_Picnic,https://en.wikipedia.org/wiki/Roadside_Picnic,book-covers-img\Roadside-picnic-macmillan-cover.jpg
78,Watership Down,1,2,Richard Adams,1972,https://www.goodreads.com/book/show/76620.Watership_Down,https://en.wikipedia.org/wiki/Watership_Down,book-covers-img\watership_down.jpg
79,Dying Inside,1,2,Robert Silverberg,1972,https://www.goodreads.com/book/show/968902.Dying_Inside,https://en.wikipedia.org/wiki/Dying_Inside,book-covers-img\DyingInside(1stEd).jpg
80,The Princess Bride,1,2,William Goldman,1973,https://www.goodreads.com/book/show/21787.The_Princess_Bride,https://en.wikipedia.org/wiki/The_Princess_Bride_(novel),book-covers-img\The_Princess_Bride_(First_Edition).jpg
81,Inverted World,1,2,Christopher Priest,1974,https://www.goodreads.com/book/show/142181.The_Inverted_World,https://en.wikipedia.org/wiki/Inverted_World,book-covers-img\Inverted_World_cover.jpg
82,The Forever War,1,8,Joe Haldeman,1974,https://www.goodreads.com/book/show/21611.The_Forever_War,https://en.wikipedia.org/wiki/The_Forever_War,book-covers-img\TheForeverWar(1stEd).jpg
83,The Mote in God's Eye,1,3,Larry Nivan,1974,https://www.goodreads.com/book/show/100365.The_Mote_in_God_s_Eye,https://en.wikipedia.org/wiki/The_Mote_in_God%27s_Eye,book-covers-img\the_mote_in_gods_eye.jpg
84,The Dispossessed,1,7,Ursula K. Le Guin,1974,https://www.goodreads.com/book/show/13651.The_Dispossessed,https://en.wikipedia.org/wiki/The_Dispossessed,book-covers-img\TheDispossed(1stEdHardcover).jpg
85,The Female Man,1,4,Joanna Russ,1975,https://www.goodreads.com/book/show/908311.The_Female_Man,https://en.wikipedia.org/wiki/The_Female_Man,book-covers-img\TheFemaleMan(1stEd).jpg
86,Dhalgren,1,6,Samuel R. Delany,1975,https://www.goodreads.com/book/show/40963358-dhalgren,https://en.wikipedia.org/wiki/Dhalgren,book-covers-img\Dhalgren-bantam-cover.jpg
87,Where Late the Sweet Birds Sang,1,2,Kate Wilhelm,1976,https://www.goodreads.com/book/show/968827.Where_Late_the_Sweet_Birds_Sang,https://en.wikipedia.org/wiki/Where_Late_the_Sweet_Birds_Sang,book-covers-img\Wherelate.jpg
88,Lucifer's Hammer,1,2,Larry Nivan,1977,https://www.goodreads.com/book/show/218467.Lucifer_s_Hammer,https://en.wikipedia.org/wiki/Lucifer%27s_Hammer,book-covers-img\LucifersHammer.jpg
